iter	Logloss
0	0.677474491
1	0.6648420584
2	0.651987734
3	0.6388102941
4	0.6272863219
5	0.6156393423
6	0.6051943347
7	0.5963474287
8	0.5876132636
9	0.5800390452
10	0.5711162898
11	0.5626558525
12	0.5558448215
13	0.5484886962
14	0.5421067083
15	0.5358504501
16	0.5296314178
17	0.5238218677
18	0.5182375756
19	0.5127582771
20	0.5094232759
21	0.5048259765
22	0.5007958704
23	0.4965409675
24	0.4924158718
25	0.4886709706
26	0.4854662307
27	0.481886397
28	0.4789575054
29	0.4759606006
30	0.4731742153
31	0.4704916436
32	0.4678251066
33	0.46528989
34	0.4628165898
35	0.4604700736
36	0.4582416394
37	0.4558786345
38	0.4538733042
39	0.451972335
40	0.4498374876
41	0.4484292681
42	0.4466761557
43	0.444933936
44	0.4435115793
45	0.4422624855
46	0.4409482158
47	0.4396774626
48	0.4381880921
49	0.4370269255
50	0.4357560147
51	0.4345648436
52	0.4333231138
53	0.4320235756
54	0.4309144089
55	0.4298366553
56	0.428812589
57	0.4278541224
58	0.427027631
59	0.4263439954
60	0.4255324265
61	0.4247194646
62	0.4238149079
63	0.4231218533
64	0.4222619538
65	0.4214893701
66	0.4206700541
67	0.4199050932
68	0.4192178768
69	0.4184432432
70	0.4177092039
71	0.416974479
72	0.4163300051
73	0.4156919257
74	0.4150347511
75	0.4144867181
76	0.413790068
77	0.4132130251
78	0.4125432893
79	0.4120223403
80	0.411619186
81	0.4111333345
82	0.4106431314
83	0.4100611903
84	0.4094539961
85	0.408959642
86	0.408505071
87	0.408151807
88	0.4077286988
89	0.4073420253
90	0.4069513994
91	0.4065935065
92	0.4062209076
93	0.4058023033
94	0.4052973425
95	0.4049289239
96	0.4045407512
97	0.4041929679
98	0.4037806628
99	0.4034885436
100	0.403080475
101	0.4027447418
102	0.4024839885
103	0.4020206578
104	0.4016089259
105	0.4013030865
106	0.40100884
107	0.4007255205
108	0.4003006221
109	0.3998906973
110	0.3996253631
111	0.3993113783
112	0.3990719547
113	0.3987472216
114	0.3984814403
115	0.398252495
116	0.397935591
117	0.3976588955
118	0.3973366696
119	0.3970819947
120	0.3968075806
121	0.3965056517
122	0.3962175704
123	0.3959461161
124	0.3956933792
125	0.3954914566
126	0.39519764
127	0.394973083
128	0.3946481436
129	0.394334368
130	0.3940191234
131	0.393694813
132	0.3935504725
133	0.3932394708
134	0.392930434
135	0.3926903719
136	0.3924587615
137	0.3923683061
138	0.3921926697
139	0.391952458
140	0.3917516726
141	0.3915671345
142	0.3913872656
143	0.3911556331
144	0.3909687054
145	0.3907701205
146	0.3905577351
147	0.390341075
148	0.3901861286
149	0.3899731133
150	0.3897385592
151	0.3895285844
152	0.3893286098
153	0.3890920752
154	0.3888600585
155	0.3886199241
156	0.3884914784
157	0.3884066207
158	0.388387038
159	0.388199008
160	0.3880722877
161	0.3878607793
162	0.3876373223
163	0.3874132507
164	0.387216669
165	0.3870447667
166	0.3868270936
167	0.3867681421
168	0.3865568129
169	0.3865002998
170	0.3863297598
171	0.3862101996
172	0.386069551
173	0.3858493714
174	0.3856400791
175	0.3854695036
176	0.3853463079
177	0.3851148857
178	0.3850123011
179	0.3848263018
180	0.3846982047
181	0.3845691732
182	0.3843910603
183	0.3841742975
184	0.3840002631
185	0.3838020096
186	0.3836795768
187	0.3835639454
188	0.3834170978
189	0.3832649949
190	0.383122188
191	0.382990792
192	0.3828928304
193	0.3827445507
194	0.382648553
195	0.3825211199
196	0.3823963974
